,title,company,location,salary,date,hyperlink,glassdoor_link,stars,sector,num_employees
43,"Software Engineer III, IoT and Java",JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=29d58992f2d7cf78&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
44,ML Engineer - Data & Advanced Analytics,Penske Truck Leasing and Logistics,"Reading, PA 19601",,Posted 30+ days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D0R1tVwh9nfVcDtaLUPmv_DHPRXk8P4e6m2sKdlvmDDfuMyh1OV5zFuT60FjWUY-TerndN7iGsZtZpWEJxBeTv-RUTy4cuylFFT96RJz3Ps3pOQ4pj24wc9hrqJZwb7Su0-oHMUZ8crnYSUG8akOeFE3T1QGbE2ZmHC28MTIGxxXT7G5hL8MmbSsswUeL0QCRTGCy1cSChhYxERVE0udkiV-OD1zMWZvJ2xvRVGyS2fjXOZUupDWdxdKysfmX0JsS-liPJs4sm5sTVh2HwW5VNMOM5uz6cmvoaLt7B7VCYJ59ty5fDBrW7APSD8Mti3QroRQ1A7GjibZN9n89AdSn9v3HOZCrxLy0d8we_vXoa5FXODnWUPl8en6RJY7RuTUUM5eR4VIb5UVH3oQ4rba6fQaHQPKZZxAgc5ZAWytqI9dqtXJKZZDOL7UoyIEcFKE7UKNk8zWE8TKM1OLOtQWd6GAX7CDUvXYexg7X6W22qLxbG3GPRZxyKeImJ8m3xiH0LTcBmEK8uyDs2TsVjMW1AQ4LiRTYnbi5lWj72PvTA2PKqA2OAMNy91iaoiTj4kL3jddGkKpzQCcjMkP3kEaOgtfC1Z5x1cVSCaTKG9FQFyNbjgZoVxG2GoMq4UfCRQw0X460Eu3AaI5sM9VFqU6PGa4HdzJeRGJNrx_i-K_mzMA==&xkcb=SoA2-_M3Jm3DHQQgQR0ObzkdCdPP&p=5&fvj=0&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Penske-Truck-Leasing-EI_IE8984.11,31.htm",3.5,Shipping & Trucking,10K+ Employees
45,Software Engineer,Sabre Systems Inc.,"Warminster, PA 18974",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=1a6b7bad6410fd4b&fccid=fdb7b9b86c55e359&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Sabre-Systems-EI_IE135687.11,24.htm",4.8,Aerospace & Defense,201 to 500 Employees
46,Software Engineer III Data,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=57f45962d8c2bfbb&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
47,Software Engineer,Sabre Systems Inc.,"Warminster, PA 18974",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=e9b966293ad21cb6&fccid=fdb7b9b86c55e359&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Sabre-Systems-EI_IE135687.11,24.htm",4.8,Aerospace & Defense,201 to 500 Employees
48,React Java Lead Software Engineer,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=e666abb120d4b84b&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
49,Machine Learning Engineer,TechCoreGlobal,"Philadelphia, PA",$40 - $55 an hour,Active 3 days ago,https://www.indeed.com/company/TechCoreGlobal/jobs/Machine-Learning-Engineer-59a4fde4298a6b7c?fccid=9e991b74bfbcc90a&vjs=3,"https://www.glassdoor.com/Overview/Working-at-TechCoreGlobal-EI_IE8965061.11,25.htm",-1.0,,
50,Machine Learning Engineer,Penn Interactive,"Hybrid remote in Philadelphia, PA",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=cab2033fcf9757a3&fccid=6c4d94aa799eafd0&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Penn-Interactive-EI_IE3167084.11,27.htm",3.1,Internet & Web Services,201 to 500 Employees
51,Research Software Engineer/Systems Architect,Simons Observatory,"Hybrid remote in Philadelphia, PA","$95,000 - $130,000 a year",Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=7e1a2dd658c8678f&fccid=6fd77f1ace05b4d9&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Simons-Observatory-EI_IE8161593.11,29.htm",-1.0,,
52,Java React Software Engineer III,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=330a47da0054e532&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
